GO:0000001	mitochondrion inheritance
GO:0001751	compound eye photoreceptor cell differentiation
GO:0001752	compound eye photoreceptor fate commitment
GO:0001754	eye photoreceptor cell differentiation
GO:0001755	neural crest cell migration
GO:0001756	somitogenesis
GO:0001757	somite specification
GO:0001759	organ induction
GO:0001762	beta-alanine transport
GO:0001763	morphogenesis of a branching structure
GO:0001764	neuron migration
GO:0001765	membrane raft assembly
GO:0001766	membrane raft polarization
GO:0001767	establishment of lymphocyte polarity
GO:0001768	establishment of T cell polarity
GO:0001769	establishment of B cell polarity
GO:0001770	establishment of natural killer cell polarity
GO:0001771	immunological synapse formation
GO:0001773	myeloid dendritic cell activation
GO:0001774	microglial cell activation
GO:0001775	cell activation
GO:0001776	leukocyte homeostasis
GO:0001777	T cell homeostatic proliferation
GO:0001778	plasma membrane repair
GO:0001779	natural killer cell differentiation
GO:0001780	neutrophil homeostasis
GO:0001781	neutrophil apoptotic process
GO:0001782	B cell homeostasis
GO:0001783	B cell apoptotic process
GO:0001787	natural killer cell proliferation
GO:0001788	antibody-dependent cellular cytotoxicity
GO:0001789	G-protein coupled receptor signaling pathway, coupled to S1P second messenger
GO:0001794	type IIa hypersensitivity
GO:0001795	type IIb hypersensitivity
GO:0001796	regulation of type IIa hypersensitivity
GO:0001797	negative regulation of type IIa hypersensitivity
GO:0001798	positive regulation of type IIa hypersensitivity
GO:0001799	regulation of type IIb hypersensitivity
GO:0001800	negative regulation of type IIb hypersensitivity
GO:0001801	positive regulation of type IIb hypersensitivity
GO:0001802	type III hypersensitivity
GO:0001803	regulation of type III hypersensitivity
GO:0001804	negative regulation of type III hypersensitivity
GO:0001805	positive regulation of type III hypersensitivity
GO:0001806	type IV hypersensitivity
GO:0001807	regulation of type IV hypersensitivity
GO:0001808	negative regulation of type IV hypersensitivity
GO:0001809	positive regulation of type IV hypersensitivity
GO:0001810	regulation of type I hypersensitivity
GO:0001811	negative regulation of type I hypersensitivity
GO:0001812	positive regulation of type I hypersensitivity
GO:0001813	regulation of antibody-dependent cellular cytotoxicity
GO:0001814	negative regulation of antibody-dependent cellular cytotoxicity
GO:0001815	positive regulation of antibody-dependent cellular cytotoxicity
GO:0001816	cytokine production
GO:0001817	regulation of cytokine production
GO:0001818	negative regulation of cytokine production
GO:0001819	positive regulation of cytokine production
GO:0001820	serotonin secretion
GO:0001821	histamine secretion
GO:0001822	kidney development
GO:0001823	mesonephros development
GO:0001824	blastocyst development
GO:0001825	blastocyst formation
GO:0001826	inner cell mass cell differentiation
GO:0001827	inner cell mass cell fate commitment
GO:0001828	inner cell mass cellular morphogenesis
GO:0001829	trophectodermal cell differentiation
GO:0001830	trophectodermal cell fate commitment
GO:0001831	trophectodermal cellular morphogenesis
GO:0001832	blastocyst growth
GO:0001833	inner cell mass cell proliferation
GO:0001834	trophectodermal cell proliferation
GO:0001835	blastocyst hatching
GO:0001836	release of cytochrome c from mitochondria
GO:0001837	epithelial to mesenchymal transition
GO:0001838	embryonic epithelial tube formation
GO:0001839	neural plate morphogenesis
GO:0001840	neural plate development
GO:0001841	neural tube formation
GO:0001842	neural fold formation
GO:0001843	neural tube closure
GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0001845	phagolysosome assembly
GO:0001865	NK T cell differentiation
GO:0001866	NK T cell proliferation
GO:0001867	complement activation, lectin pathway
GO:0001868	regulation of complement activation, lectin pathway
GO:0001869	negative regulation of complement activation, lectin pathway
GO:0001870	positive regulation of complement activation, lectin pathway
GO:0001878	response to yeast
GO:0001879	detection of yeast
GO:0001880	Mullerian duct regression
GO:0001881	receptor recycling
GO:0001885	endothelial cell development
GO:0001886	endothelial cell morphogenesis
GO:0001887	selenium compound metabolic process
GO:0001889	liver development
GO:0001890	placenta development
GO:0001892	embryonic placenta development
GO:0001893	maternal placenta development
GO:0001894	tissue homeostasis
GO:0001895	retina homeostasis
GO:0001896	autolysis
GO:0001897	cytolysis by symbiont of host cells
GO:0001898	regulation of cytolysis by symbiont of host cells
GO:0001899	negative regulation of cytolysis by symbiont of host cells
GO:0001900	positive regulation of cytolysis by symbiont of host cells
GO:0001905	activation of membrane attack complex
GO:0001906	cell killing
GO:0001907	killing by symbiont of host cells
GO:0001909	leukocyte mediated cytotoxicity
GO:0001910	regulation of leukocyte mediated cytotoxicity
GO:0001911	negative regulation of leukocyte mediated cytotoxicity
GO:0001912	positive regulation of leukocyte mediated cytotoxicity
GO:0001913	T cell mediated cytotoxicity
GO:0001914	regulation of T cell mediated cytotoxicity
GO:0001915	negative regulation of T cell mediated cytotoxicity
GO:0001916	positive regulation of T cell mediated cytotoxicity
GO:0001919	regulation of receptor recycling
GO:0001920	negative regulation of receptor recycling
GO:0001921	positive regulation of receptor recycling
GO:0001922	B-1 B cell homeostasis
GO:0001923	B-1 B cell differentiation
GO:0001924	regulation of B-1 B cell differentiation
GO:0001925	negative regulation of B-1 B cell differentiation
GO:0001926	positive regulation of B-1 B cell differentiation
GO:0001927	exocyst assembly
GO:0001928	regulation of exocyst assembly
GO:0001929	negative regulation of exocyst assembly
GO:0001930	positive regulation of exocyst assembly
GO:0001932	regulation of protein phosphorylation
GO:0001933	negative regulation of protein phosphorylation
GO:0001934	positive regulation of protein phosphorylation
GO:0001935	endothelial cell proliferation
GO:0001936	regulation of endothelial cell proliferation
GO:0001937	negative regulation of endothelial cell proliferation
GO:0001938	positive regulation of endothelial cell proliferation
GO:0001941	postsynaptic membrane organization
GO:0001942	hair follicle development
GO:0001944	vasculature development
GO:0001945	lymph vessel development
GO:0001946	lymphangiogenesis
GO:0001947	heart looping
GO:0001949	sebaceous gland cell differentiation
GO:0001951	intestinal D-glucose absorption
GO:0001952	regulation of cell-matrix adhesion
GO:0001953	negative regulation of cell-matrix adhesion
GO:0001954	positive regulation of cell-matrix adhesion
GO:0001955	blood vessel maturation
GO:0001956	positive regulation of neurotransmitter secretion
GO:0001957	intramembranous ossification
GO:0001958	endochondral ossification
GO:0001959	regulation of cytokine-mediated signaling pathway
GO:0001960	negative regulation of cytokine-mediated signaling pathway
GO:0001961	positive regulation of cytokine-mediated signaling pathway
GO:0001963	synaptic transmission, dopaminergic
GO:0001964	startle response
GO:0001966	thigmotaxis
GO:0001967	suckling behavior
GO:0001969	regulation of activation of membrane attack complex
GO:0001970	positive regulation of activation of membrane attack complex
GO:0001971	negative regulation of activation of membrane attack complex
GO:0001973	adenosine receptor signaling pathway
GO:0001974	blood vessel remodeling
GO:0001975	response to amphetamine
GO:0001976	neurological system process involved in regulation of systemic arterial blood pressure
GO:0001977	renal system process involved in regulation of blood volume
GO:0001978	regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback
GO:0001979	regulation of systemic arterial blood pressure by chemoreceptor signaling
GO:0001980	regulation of systemic arterial blood pressure by ischemic conditions
GO:0001981	baroreceptor detection of arterial stretch
GO:0001982	baroreceptor response to decreased systemic arterial blood pressure
GO:0001983	baroreceptor response to increased systemic arterial blood pressure
GO:0001984	vasodilation of artery involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001985	negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001986	negative regulation of the force of heart contraction involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001987	vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure
GO:0001988	positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure
GO:0001989	positive regulation of the force of heart contraction involved in baroreceptor response to decreased systemic arterial blood pressure
GO:0001990	regulation of systemic arterial blood pressure by hormone
GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0001992	regulation of systemic arterial blood pressure by vasopressin
GO:0001993	regulation of systemic arterial blood pressure by norepinephrine-epinephrine
GO:0001994	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001995	norepinephrine-epinephrine catabolic process in blood stream
GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine
GO:0001997	positive regulation of the force of heart contraction by epinephrine-norepinephrine
GO:0001998	angiotensin mediated vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001999	renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure
GO:0002000	detection of renal blood flow
GO:0002001	renin secretion into blood stream
GO:0002002	regulation of angiotensin levels in blood
GO:0002003	angiotensin maturation
GO:0002004	secretion of vasopressin involved in fast regulation of systemic arterial blood pressure
GO:0002005	angiotensin catabolic process in blood
GO:0002006	vasoconstriction by vasopressin involved in systemic arterial blood pressure control
GO:0002007	detection of hypoxic conditions in blood by chemoreceptor signaling
GO:0002008	excitation of vasomotor center by chemoreceptor signaling
GO:0002009	morphogenesis of an epithelium
GO:0002010	excitation of vasomotor center by baroreceptor signaling
GO:0002011	morphogenesis of an epithelial sheet
GO:0002012	vasoconstriction of artery involved in chemoreceptor response to lowering of systemic arterial blood pressure
GO:0002013	detection of carbon dioxide by vasomotor center
GO:0002014	vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure
GO:0002015	regulation of systemic arterial blood pressure by atrial baroreceptor feedback
GO:0002016	regulation of blood volume by renin-angiotensin
GO:0002017	regulation of blood volume by renal aldosterone
GO:0002018	renin-angiotensin regulation of aldosterone production
GO:0002019	regulation of renal output by angiotensin
GO:0002021	response to dietary excess
GO:0002022	detection of dietary excess
GO:0002023	reduction of food intake in response to dietary excess
GO:0002024	diet induced thermogenesis
GO:0002025	vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure
GO:0002026	regulation of the force of heart contraction
GO:0002027	regulation of heart rate
GO:0002028	regulation of sodium ion transport
GO:0002029	desensitization of G-protein coupled receptor protein signaling pathway
GO:0002030	inhibitory G-protein coupled receptor phosphorylation
GO:0002031	G-protein coupled receptor internalization
GO:0002032	desensitization of G-protein coupled receptor protein signaling pathway by arrestin
GO:0002033	vasodilation by angiotensin involved in regulation of systemic arterial blood pressure
GO:0002034	regulation of blood vessel size by renin-angiotensin
GO:0002035	brain renin-angiotensin system
GO:0002036	regulation of L-glutamate transport
GO:0002037	negative regulation of L-glutamate transport
GO:0002038	positive regulation of L-glutamate transport
GO:0002040	sprouting angiogenesis
GO:0002041	intussusceptive angiogenesis
GO:0002042	cell migration involved in sprouting angiogenesis
GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0002044	blood vessel endothelial cell migration involved in intussusceptive angiogenesis
GO:0002045	regulation of cell adhesion involved in intussusceptive angiogenesis
GO:0002047	phenazine biosynthetic process
GO:0002048	pyoverdine metabolic process
GO:0002049	pyoverdine biosynthetic process
GO:0002050	pyoverdine catabolic process
GO:0002051	osteoblast fate commitment
GO:0002052	positive regulation of neuroblast proliferation
GO:0002053	positive regulation of mesenchymal cell proliferation
GO:0002062	chondrocyte differentiation
GO:0002063	chondrocyte development
GO:0002064	epithelial cell development
GO:0002065	columnar/cuboidal epithelial cell differentiation
GO:0002066	columnar/cuboidal epithelial cell development
GO:0002067	glandular epithelial cell differentiation
GO:0002068	glandular epithelial cell development
GO:0002069	columnar/cuboidal epithelial cell maturation
GO:0002070	epithelial cell maturation
GO:0002071	glandular epithelial cell maturation
