HP:0000002	Abnormality of body height
HP:0001022	Albinism
HP:0001024	Skin dimple over apex of long bone angulation
HP:0001025	Urticaria
HP:0001026	Penetrating foot ulcers
HP:0001027	Soft, doughy skin
HP:0001028	Hemangioma
HP:0001029	Poikiloderma
HP:0001030	Fragile skin
HP:0001031	Subcutaneous lipoma
HP:0001032	Absent distal interphalangeal creases
HP:0001033	Facial flushing after alcohol intake
HP:0001034	Hypermelanotic macule
HP:0001036	Parakeratosis
HP:0001038	Warfarin-induced skin necrosis
HP:0001039	Atheroeruptive xanthoma
HP:0001040	Multiple pterygia
HP:0001041	Facial erythema
HP:0001042	High axial triradius
HP:0001043	Prominent scalp veins
HP:0001045	Vitiligo
HP:0001046	Intermittent jaundice
HP:0001047	Atopic dermatitis
HP:0001048	Cavernous hemangioma
HP:0001049	Absent dorsal skin creases over affected joints
HP:0001050	Plethora
HP:0001051	Seborrheic dermatitis
HP:0001052	Nevus flammeus
HP:0001053	Hypopigmented skin patches
HP:0001054	Numerous nevi
HP:0001055	Erysipelas
HP:0001056	Milia
HP:0001057	Aplasia cutis congenita
HP:0001058	Poor wound healing
HP:0001059	Pterygia
HP:0001060	Axillary pterygia
HP:0001061	Acne
HP:0001062	Atypical nevi (>5mm with irregular edge and pigmentation)
HP:0001063	Acrocyanosis
HP:0001064	Diaphoresis
HP:0001065	Striae distensae
HP:0001067	Neurofibromas
HP:0001069	Episodic hyperhidrosis
HP:0001070	Mottled pigmentation
HP:0001071	Angiokeratoma corporis diffusum
HP:0001072	Thickened skin
HP:0001073	Cigarette-paper scars
HP:0001074	Atypical nevi in non-sun exposed areas
HP:0001075	Atrophic scars
HP:0001076	Glabellar hemangioma
HP:0001080	Biliary tract abnormality
HP:0001081	Cholelithiasis
HP:0001082	Cholecystitis
HP:0001083	Ectopia lentis
HP:0001084	Corneal arcus
HP:0001085	Papilledema
HP:0001087	Congenital glaucoma
HP:0001088	Brushfield spots
HP:0001089	Iris atrophy
HP:0001090	Large eyes
HP:0001092	Absent lacrimal puncta
HP:0001093	Optic nerve dysplasia
HP:0001094	Iridocyclitis
HP:0001095	Hypertensive retinopathy
HP:0001096	Keratoconjunctivitis
HP:0001097	Keratoconjunctivitis sicca
HP:0001098	Abnormality of the fundus
HP:0001099	Fundus atrophy
HP:0001100	Heterochromia iridis
HP:0001101	Iritis
HP:0001102	Angioid streaks of the retina
HP:0001103	Abnormality of the macula
HP:0001104	Macular hypoplasia
HP:0001105	Retinal atrophy
HP:0001106	Periorbital hyperpigmentation
HP:0001107	Ocular albinism
HP:0001112	Leber optic atrophy
HP:0001114	Xanthelasma
HP:0001115	Posterior polar cataract
HP:0001116	Macular coloboma
HP:0001117	Sudden central visual loss
HP:0001118	Juvenile cataract
HP:0001119	Keratoglobus
HP:0001120	Abnormality of corneal size
HP:0001122	Aplasia/Hypoplasia of the choroid
HP:0001123	Visual field defect
HP:0001125	Hemianopic blurring of vision
HP:0001126	Cryptophthalmos
HP:0001128	Trichiasis
HP:0001129	Large central visual field defect
HP:0001131	Corneal dystrophy
HP:0001132	Lens subluxation
HP:0001133	Constricted visual fields
HP:0001134	Anterior polar cataract
HP:0001135	Chorioretinal dystrophy
HP:0001136	Retinal arteriolar tortuosity
HP:0001137	Alternating esotropia
HP:0001138	Optic neuropathy
HP:0001139	Choroideremia
HP:0001140	Epibulbar dermoids
HP:0001141	Severe visual impairment
HP:0001142	Lenticonus
HP:0001144	Orbital cysts
HP:0001145	Chorioretinopathy
HP:0001146	Pigmentary retinal degeneration
HP:0001147	Retinal exudate
HP:0001149	Lattice corneal dystrophy
HP:0001150	Choroidal sclerosis
HP:0001151	Impaired horizontal smooth pursuit
HP:0001152	Saccadic smooth pursuit
HP:0001153	Septate vagina
HP:0001155	Abnormality of the hand
HP:0001156	Brachydactyly syndrome
HP:0001159	Syndactyly
HP:0001161	Polydactyly (hands)
HP:0001162	Postaxial polydactyly (hands)
HP:0001163	Abnormality of the metacarpal bones
HP:0001166	Arachnodactyly
HP:0001167	Abnormality of finger
HP:0001169	Broad palm
HP:0001171	Ectrodactyly (hands)
HP:0001172	Abnormality of the thumb
HP:0001176	Large hands
HP:0001177	Preaxial polydactyly (hands)
HP:0001178	Ulnar claw
HP:0001180	Oligodactyly (hands)
HP:0001181	Adducted thumb
HP:0001182	Tapered finger
HP:0001187	Hyperextensibility of the finger joints
HP:0001188	Hand clenching
HP:0001191	Abnormality of the carpal bones
HP:0001193	Ulnar deviation of the hand or of fingers of the hand
HP:0001194	Abnormalities of placenta and umbilical cord
HP:0001195	Single umbilical artery
HP:0001196	Short umbilical cord
HP:0001197	Abnormality of prenatal development or birth
HP:0001199	Triphalangeal thumb
HP:0001204	Distal symphalangism (hands)
HP:0001211	Abnormality of the fingertips
HP:0001212	Prominent fingertip pads
HP:0001215	Camptodactyly (2nd-5th fingers)
HP:0001216	Delayed ossification of carpal bones
HP:0001217	Clubbing
HP:0001218	Autoamputation
HP:0001220	Interphalangeal joint contractures (hands)
HP:0001222	Spatulate thumbs
HP:0001223	Pointed proximal second through fifth metacarpals
HP:0001225	Wrist swelling
HP:0001226	Acral ulceration and osteomyelitis leading to autoamputation of digits
HP:0001227	Abnormality of the thenar eminence
HP:0001230	Broad metacarpals
HP:0001231	Abnormality of the fingernails
HP:0001232	Nail bed telangiectasia
HP:0001233	2-3 finger syndactyly
HP:0001234	Hitchhiker thumb
HP:0001238	Slender finger
HP:0001239	Wrist flexion contracture
HP:0001241	Capitate-hamate fusion
HP:0001245	Small thenar eminence
HP:0001248	Short tubular bones (hand)
HP:0001249	Intellectual disability
HP:0001250	Seizures
HP:0001251	Ataxia
HP:0001252	Muscular hypotonia
HP:0001254	Lethargy
HP:0001256	Intellectual disability, mild
HP:0001257	Spasticity
HP:0001258	Spastic paraplegia
HP:0001259	Coma
HP:0001260	Dysarthria
HP:0001262	Somnolence
HP:0001263	Global developmental delay
HP:0001264	Spastic diplegia
HP:0001265	Hyporeflexia
HP:0001266	Choreoathetosis
HP:0001268	Mental deterioration
HP:0001269	Hemiparesis
HP:0001270	Motor delay
HP:0001271	Polyneuropathy
HP:0001272	Cerebellar atrophy
HP:0001273	Abnormality of the corpus callosum
HP:0001274	Agenesis of corpus callosum
HP:0001276	Hypertonia
HP:0001278	Orthostatic hypotension
HP:0001279	Syncope
HP:0001281	Tetany
HP:0001283	Bulbar palsy
HP:0001284	Areflexia
HP:0001285	Spastic tetraparesis
HP:0001287	Meningitis
HP:0001288	Gait disturbance
HP:0001289	Confusion
HP:0001290	Generalized hypotonia
HP:0001291	Abnormality of the cranial nerves
HP:0001293	Cranial nerve compression
HP:0001297	Stroke
HP:0001298	Encephalopathy
HP:0001300	Parkinsonism
HP:0001301	Chronic sensorineural polyneuropathy
HP:0001302	Pachygyria
HP:0001304	Torsion dystonia
HP:0001305	Dandy-Walker malformation
HP:0001308	Tongue fasciculations
HP:0001310	Dysmetria
HP:0001311	Neurophysiological abnormality
HP:0001312	Giant somatosensory evoked potentials
HP:0001315	Reduced tendon reflexes
HP:0001317	Abnormality of the cerebellum
HP:0001319	Neonatal hypotonia
HP:0001320	Cerebellar vermis hypoplasia
HP:0001321	Cerebellar hypoplasia
HP:0001322	Brain very small
HP:0001324	Muscle weakness
HP:0001325	Hypoglycemic coma
HP:0001326	EEG with irregular generalized spike and wave complexes
HP:0001327	Photomyoclonic seizures
HP:0001328	Specific learning disability
HP:0001331	Absent septum pellucidum
HP:0001332	Dystonia
HP:0001334	Communicating hydrocephalus
HP:0001335	Bimanual synkinesia
HP:0001336	Myoclonus
HP:0001337	Tremor
HP:0001338	Partial agenesis of the corpus callosum
HP:0001339	Lissencephaly
HP:0001340	Enhancement of the C-reflex
HP:0001341	Olfactory lobe agenesis
HP:0001342	Cerebral hemorrhage
HP:0001343	Kernicterus
HP:0001344	Absent speech
HP:0001345	Psychotic mentation
HP:0001347	Hyperreflexia
HP:0001348	Brisk reflexes
HP:0001349	Facial diplegia
HP:0001350	Slurred speech
HP:0001351	Jerk-locked premyoclonus spikes
HP:0001355	Megalencephaly
HP:0001357	Plagiocephaly
HP:0001360	Holoprosencephaly
HP:0001361	Nystagmus-induced head nodding
HP:0001362	Skull defect
HP:0001363	Craniosynostosis
HP:0001367	Abnormal joint morphology
HP:0001369	Arthritis
HP:0001370	Rheumatoid arthritis
HP:0001371	Flexion contracture
HP:0001373	Joint dislocation
HP:0001374	Congenital hip dislocation
HP:0001376	Limitation of joint mobility
HP:0001377	Limited elbow extension
HP:0001379	Degenerative joint disease
HP:0001380	Ligamentous laxity
HP:0001382	Joint hypermobility
HP:0001384	Abnormality of the hip joint
HP:0001385	Hip dysplasia
HP:0001386	Joint swelling
HP:0001387	Joint stiffness
HP:0001388	Joint laxity
HP:0001392	Abnormality of the liver
HP:0001394	Cirrhosis
HP:0001395	Hepatic fibrosis
HP:0001396	Cholestasis
HP:0001397	Hepatic steatosis
HP:0001399	Hepatic failure
HP:0001400	Hepatic abscesses due to immunodeficiency
HP:0001401	Intrahepatic biliary dysgenesis
HP:0001402	Hepatocellular carcinoma
HP:0001403	Macrovesicular hepatic steatosis
HP:0001404	Hepatocellular necrosis
HP:0001405	Periportal fibrosis
HP:0001406	Intrahepatic cholestasis
HP:0001407	Hepatic cysts
HP:0001408	Bile duct proliferation
HP:0001409	Portal hypertension
HP:0001410	Decreased liver function
HP:0001412	Enteroviral hepatitis
HP:0001413	Micronodular cirrhosis
HP:0001414	Microvesicular hepatic steatosis
HP:0001421	Abnormality of the musculature of the hand
HP:0001430	Abnormality of the calf musculature
HP:0001433	Hepatosplenomegaly
HP:0001435	Abnormality of the shoulder girdle musculature
HP:0001436	Abnormality of the foot musculature
HP:0001437	Abnormality of the musculature of the lower limbs
HP:0001438	Abnormality of the abdomen
HP:0001440	Synostosis involving metatarsal bones
HP:0001441	Abnormality of the musculature of the thigh
HP:0001443	Abnormality of the gluteal musculature
HP:0001445	Abnormality of the hip-girdle musculature
HP:0001446	Abnormality of the musculature of the upper limbs
HP:0001449	Duplication of metatarsal bones
HP:0001454	Abnormality of the upper arm
HP:0001457	Abnormality of the musculature of the upper arm
HP:0001459	1-3 toe syndactyly
HP:0001460	Aplasia/Hypoplasia involving the musculature
HP:0001464	Aplasia/Hypoplasia involving the shoulder musculature
HP:0001465	Amyotrophy involving the shoulder musculature
HP:0001467	Aplasia/Hypoplasia involving the musculature of the upper limbs
HP:0001468	Aplasia/Hypoplasia involving the musculature of the upper arm
HP:0001469	Abnormality of the musculature of the pelvis
HP:0001471	Aplasia/Hypoplasia of the musculature of the pelvis
HP:0001473	Metatarsal osteolysis
HP:0001474	Sclerotic scapulae
HP:0001476	Delayed closure of the anterior fontanelle
HP:0001477	Compensatory chin elevation
HP:0001480	Freckling
HP:0001482	Subcutaneous nodules
HP:0001483	Eye poking
HP:0001487	Hypopigmented fundi
HP:0001488	Bilateral ptosis
HP:0001489	Vitreous detachment
HP:0001491	Congenital fibrosis of extraocular muscles
HP:0001492	Axenfeld anomaly
HP:0001493	Falciform retinal fold
HP:0001495	Carpal osteolysis
HP:0001498	Carpal bone hypoplasia
HP:0001500	Broad finger
HP:0001501	6 metacarpals
HP:0001504	Metacarpal osteolysis
HP:0001507	Growth abnormality
HP:0001508	Failure to thrive
HP:0001510	Growth delay
HP:0001511	Intrauterine growth retardation
HP:0001513	Obesity
HP:0001518	Small for gestational age
HP:0001519	Disproportionate tall stature
HP:0001520	Large for gestational age
HP:0001525	Severe failure to thrive
HP:0001528	Hemihypertrophy
HP:0001530	Mild postnatal growth retardation
HP:0001531	Failure to thrive in infancy
HP:0001533	Slender build
HP:0001534	Genitourinary atresia
HP:0001537	Umbilical hernia
HP:0001538	Protuberant abdomen
HP:0001539	Omphalocele
HP:0001540	Diastasis recti
HP:0001541	Ascites
HP:0001543	Gastroschisis
HP:0001544	Prominent umbilicus
HP:0001545	Anteriorly placed anus
HP:0001547	Abnormality of the rib cage
HP:0001548	Overgrowth
HP:0001549	Abnormality of the ileum
HP:0001551	Abnormality of the umbilicus
HP:0001552	Barrel-shaped chest
HP:0001555	Asymmetry of the thorax
HP:0001557	Prenatal movement abnormality
HP:0001558	Decreased fetal movement
HP:0001560	Abnormality of the amniotic fluid
HP:0001561	Polyhydramnios
HP:0001562	Oligohydramnios
HP:0001563	Fetal polyuria
HP:0001566	Widely-spaced maxillary central incisors
HP:0001571	Multiple impacted teeth
HP:0001572	Macrodontia
HP:0001574	Abnormality of the integument
HP:0001575	Mood changes
HP:0001578	Hypercortisolism
HP:0001579	Primary hypercorticolism
HP:0001580	Pigmented micronodular adrenocortical disease
HP:0001581	Recurrent skin infections
HP:0001582	Redundant skin
HP:0001583	Rotary nystagmus
HP:0001586	Vesicovaginal fistula
HP:0001587	Primary ovarian failure
HP:0001591	Bell-shaped thorax
HP:0001592	Selective tooth agenesis
HP:0001593	Maxillary lateral incisor microdontia
HP:0001595	Abnormality of the hair
HP:0001596	Alopecia
HP:0001597	Abnormality of the nail
HP:0001598	Concave nail
HP:0001600	Abnormality of the larynx
HP:0001601	Laryngomalacia
HP:0001602	Laryngeal stenosis
HP:0001604	Vocal cord paresis
HP:0001605	Vocal cord paralysis
HP:0001606	Vocal cord paralysis (caused by tumor impingement)
HP:0001607	Subglottic stenosis
HP:0001608	Abnormality of the voice
HP:0001609	Hoarse voice
HP:0001611	Nasal speech
HP:0001612	Weak cry
HP:0001613	Hoarse voice (caused by tumor impingement)
HP:0001615	Hoarse cry
HP:0001618	Dysphonia
HP:0001620	High pitched voice
HP:0001621	Weak voice
HP:0001622	Premature birth
HP:0001623	Breech presentation
HP:0001626	Abnormality of the cardiovascular system
HP:0001627	Abnormality of the heart
HP:0001629	Ventricular septal defect
HP:0001631	Defect in the atrial septum
HP:0001633	Abnormality of the mitral valve
HP:0001634	Mitral valve prolapse
HP:0001635	Congestive heart failure
HP:0001636	Tetralogy of Fallot
HP:0001637	Abnormality of the myocardium
HP:0001638	Cardiomyopathy
HP:0001639	Hypertrophic cardiomyopathy
HP:0001640	Cardiomegaly
HP:0001641	Abnormality of the pulmonary valve
HP:0001642	Pulmonic stenosis
HP:0001643	Patent ductus arteriosus
HP:0001644	Dilated cardiomyopathy
HP:0001645	Sudden cardiac death
HP:0001646	Abnormality of the aortic valve
HP:0001647	Bicuspid aortic valve
HP:0001648	Cor pulmonale
HP:0001649	Tachycardia
HP:0001650	Aortic valve stenosis
HP:0001651	Dextrocardia
HP:0001653	Mitral regurgitation
HP:0001654	Abnormality of the heart valves
HP:0001655	Patent foramen ovale
HP:0001657	Prolonged QT interval
HP:0001658	Myocardial infarction
HP:0001659	Aortic regurgitation
HP:0001660	Truncus arteriosus
HP:0001662	Bradycardia
HP:0001663	Ventricular fibrillation
HP:0001664	Torsade de pointes
HP:0001667	Right ventricular hypertrophy
HP:0001669	Transposition of the great arteries
HP:0001670	Asymmetric septal hypertrophy
HP:0001671	Abnormality of the cardiac septa
HP:0001673	Tachycardia (with pheochromocytoma)
HP:0001674	Complete atrioventricular canal defect
HP:0001675	Rhythm disturbances associated with pheochromocytoma
HP:0001676	Palpitations (with pheochromocytoma)
HP:0001677	Coronary artery disease
HP:0001678	Atrioventricular block
HP:0001679	Abnormality of the aorta
HP:0001680	Coarctation of aorta
HP:0001681	Angina pectoris
HP:0001682	Subvalvular aortic stenosis
HP:0001683	Ectopia cordis
HP:0001684	Secundum atrial septal defect
HP:0001685	Myocardial fibrosis
HP:0001686	Loss of voice
HP:0001688	Sinus bradycardia
HP:0001691	Muscular subvalvular aortic stenosis
HP:0001692	Primary atrial arrhythmia
HP:0001693	Cardiac shunt
HP:0001694	Right-to-left shunt
HP:0001695	Cardiac arrest
HP:0001696	Situs inversus totalis
HP:0001697	Abnormality of the pericardium
HP:0001698	Pericardial effusion
HP:0001700	Myocardial necrosis
HP:0001701	Pericarditis
HP:0001702	Abnormality of the tricuspid valve
HP:0001704	Tricuspid valve prolapse
HP:0001705	Right ventricular outlet obstruction
HP:0001706	Endocardial fibroelastosis
HP:0001707	Abnormality of the right ventricle
HP:0001708	Right ventricular failure
HP:0001709	Third degree atrioventricular block
HP:0001710	Conotruncal defect
HP:0001711	Abnormality of the left ventricle
HP:0001712	Left ventricular hypertrophy
HP:0001713	Abnormality of cardiac ventricle
HP:0001714	Ventricular hypertrophy
HP:0001716	Wolff-Parkinson-White syndrome
HP:0001717	Coronary artery calcification
HP:0001718	Mitral stenosis
HP:0001719	Double outlet right ventricle
HP:0001722	High-output congestive heart failure
HP:0001723	Restrictive cardiomyopathy
HP:0001724	Aortic dilatation
HP:0001726	Increased prevalence of valvular disease
HP:0001727	Thromboembolic stroke
HP:0001730	Progressive hearing impairment
HP:0001732	Abnormality of the pancreas
HP:0001733	Pancreatitis
HP:0001734	Annular pancreas
HP:0001735	Acute pancreatitis
HP:0001737	Pancreatic cysts
HP:0001738	Exocrine pancreatic insufficiency
HP:0001739	Abnormality of the nasopharynx
HP:0001741	Phimosis
HP:0001742	Nasal obstruction
HP:0001743	Abnormality of the spleen
HP:0001744	Splenomegaly
HP:0001746	Asplenia
HP:0001747	Accessory spleen
HP:0001748	Polysplenia
HP:0001750	Single ventricle
HP:0001751	Vestibular dysfunction
HP:0001756	Vestibular hypofunction
HP:0001757	High-frequency sensorineural hearing impairment
HP:0001760	Abnormality of the foot
HP:0001761	Pes cavus
HP:0001762	Talipes equinovarus
HP:0001763	Pes planus
HP:0001765	Hammertoe
HP:0001769	Broad foot
HP:0001770	Toe syndactyly
HP:0001771	Achilles tendon contracture
HP:0001772	Talipes equinovalgus
HP:0001773	Short foot
HP:0001775	Tarsal osteovalgus
HP:0001776	Bilateral talipes equinovarus
HP:0001780	Abnormality of toe
HP:0001782	Bulbous tips of toes
HP:0001783	Broad metatarsal
HP:0001785	Ankle swelling
HP:0001786	Narrow foot
HP:0001787	Abnormal delivery
HP:0001788	Premature rupture of membranes
HP:0001789	Hydrops fetalis
HP:0001790	Nonimmune hydrops fetalis
HP:0001791	Fetal ascites
HP:0001792	Small nail
HP:0001795	Hyperconvex nail
HP:0001798	Anonychia
HP:0001799	Short nail
HP:0001800	Hypoplastic toenails
HP:0001802	Absent toenails
HP:0001803	Nail pits
HP:0001804	Hypoplastic fingernail
HP:0001805	Thick nail
HP:0001806	Onycholysis
HP:0001807	Ridged nail
HP:0001808	Fragile nails
HP:0001809	Split nail
HP:0001810	Dystrophic toenails
HP:0001812	Hyperconvex fingernails
HP:0001814	Deep-set nails
HP:0001816	Thin nail
HP:0001817	Absent fingernail
HP:0001818	Paronychia
HP:0001820	Leukonychia
HP:0001821	Broad nail
HP:0001822	Hallux valgus
HP:0001824	Weight loss
HP:0001827	Genital tract atresia
HP:0001829	Polydactyly (feet)
HP:0001830	Postaxial polydactyly of foot
HP:0001831	Short toe
HP:0001832	Abnormality of the metatarsal bones
HP:0001833	Large feet
HP:0001836	Camptodactyly (feet)
HP:0001837	Broad toe
HP:0001838	Vertical talus
HP:0001839	Ectrodactyly (feet)
HP:0001840	Metatarsus adductus
HP:0001841	Preaxial polydactyly of foot
HP:0001842	Acroosteolysis (feet)
HP:0001844	Abnormality of the hallux
HP:0001845	Overlapping toe
HP:0001847	Long hallux
HP:0001848	Calcaneovalgus deformity
HP:0001849	Oligodactyly (feet)
HP:0001850	Abnormality of the tarsal bones
